darkstore_id,latitude,longitude,avg_orders_last_2w,avg_distance_km_last_2w,avg_active_riders_last_2w,order_std_last_2w,rider_std_last_2w,temperature_c,rainfall_mm,humidity_percent,aqi,extreme_heat_hours_week,heavy_rain_hours_week,total_active_riders_week,num_claims_last_week,avg_earning_per_hour_last2w
DS_1,12.87454,80.075545,297,10.69,23,26.93,27.96,32.47,9.99,76.5,203,8,18,200,45,2753.14
DS_2,13.450714,80.131405,299,2.03,115,12.81,24.99,31.66,14.93,49.23,75,30,29,86,9,2596.23
DS_3,13.231994,80.398183,221,4.14,26,40.48,8.48,28.52,11.25,57.33,177,9,24,373,35,2063.49
DS_4,13.098658,80.038003,162,2.96,86,43.73,22.28,37.15,1.67,73.16,194,5,0,250,9,1307.45
DS_5,12.656019,80.408755,282,2.97,10,16.17,9.92,34.53,3.71,64.1,272,8,20,411,26,2577.3
DS_6,12.655995,79.861694,190,11.46,10,10.55,12.41,42.31,4.39,76.93,132,22,26,241,14,1880.29
DS_7,12.558084,80.343759,185,11.36,35,37.5,15.66,25.64,5.16,88.06,93,14,19,67,18,1813.7
DS_8,13.366176,80.393283,240,9.49,55,46.59,14.9,37.88,11.31,45.83,133,3,8,212,10,2129.76
DS_9,13.101115,79.927272,71,8.43,22,6.58,3.79,40.26,10.08,75.48,200,1,10,328,31,664.65
DS_10,13.208073,80.101243,87,10.48,43,5.65,23.9,40.19,4.06,51.52,74,5,0,400,19,596.85
DS_11,12.520584,79.91585,76,2.58,71,13.25,25.85,42.72,1.35,60.72,269,16,12,261,45,623.65
DS_12,13.46991,80.294623,75,3.19,113,35.82,17.34,39.58,3.43,41.64,86,6,19,184,14,503.45
DS_13,13.332443,80.174743,72,5.17,82,48.42,7.67,43.56,19.69,46.8,253,22,0,238,3,584.32
DS_14,12.712339,80.244726,169,10.32,60,38.77,9.69,31.65,9.37,55.99,161,22,2,381,16,1526.62
DS_15,12.681825,79.937541,152,6.72,92,30.79,6.41,35.06,17.35,57.1,242,19,19,482,0,1284.85
DS_16,12.683405,79.948222,272,7.04,96,36.52,7.58,25.28,16.98,84.98,51,14,16,292,18,2366.22
DS_17,12.804242,79.829048,270,4.29,50,15.38,26.66,25.14,10.23,77.09,251,23,4,234,4,2425.38
DS_18,13.024756,80.025447,114,8.48,64,35.98,15.96,29.8,14.13,88.61,147,20,5,245,17,1027.22
DS_19,12.931945,80.191821,123,10.88,37,19.47,6.0,27.02,3.86,69.95,81,6,22,445,16,1130.18
DS_20,12.791229,80.400554,96,5.3,103,15.01,9.88,30.2,13.77,52.09,138,20,9,294,41,783.18
DS_21,13.111853,80.266849,110,8.19,70,15.65,28.64,28.54,5.45,56.38,251,11,10,64,40,980.67
DS_22,12.639494,80.104777,223,5.32,16,35.05,16.75,25.57,16.64,55.99,232,9,12,435,3,2056.33
DS_23,12.792145,80.467184,181,9.93,87,39.53,16.92,43.19,1.67,56.32,227,24,9,427,18,1597.17
DS_24,12.866362,80.303472,208,6.75,11,31.18,17.19,25.16,15.46,73.65,242,16,13,224,30,1971.29
DS_25,12.95607,80.451116,53,5.39,85,7.87,6.01,39.72,2.0,66.54,209,17,12,361,2,420.83
